Time,Object Name,Status,Value,Units,Alert ID,Priority
20.03.2023 9:28:13,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:28:13,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:28:13,TIC Turbo Power,,7.5,,0,0
20.03.2023 9:28:13,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:28:13,TIC Gauge 1,11,5.9952e+04,59,0,0
20.03.2023 9:28:15,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:28:15,TIC Turbo Power,,7.0,,0,0
20.03.2023 9:28:15,TIC Gauge 1,11,1.7222e+04,59,0,0
20.03.2023 9:28:15,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:28:15,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:28:17,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:28:17,TIC Turbo Power,,7.3,,0,0
20.03.2023 9:28:17,TIC Gauge 1,11,7.9365e+03,59,0,0
20.03.2023 9:28:17,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:28:17,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:28:19,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:28:19,TIC Turbo Power,,5.4,,0,0
20.03.2023 9:28:19,TIC Gauge 1,11,4.7234e+03,59,0,0
20.03.2023 9:28:19,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:28:19,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:28:21,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:28:21,TIC Turbo Power,,6.5,,0,0
20.03.2023 9:28:21,TIC Gauge 1,11,2.5388e+03,59,0,0
20.03.2023 9:28:21,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:28:21,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:28:23,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:28:23,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:28:23,TIC Turbo Power,,6.1,,0,0
20.03.2023 9:28:23,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:28:23,TIC Gauge 1,11,1.4546e+03,59,0,0
20.03.2023 9:28:25,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:28:25,TIC Turbo Power,,5.4,,0,0
20.03.2023 9:28:25,TIC Gauge 1,11,8.4826e+02,59,0,0
20.03.2023 9:28:25,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:28:25,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:28:27,TIC Turbo Speed,,1.6,,0,0
20.03.2023 9:28:27,TIC Turbo Power,,8.2,,0,0
20.03.2023 9:28:27,TIC Gauge 1,11,4.9146e+02,59,0,0
20.03.2023 9:28:27,TIC Gauge 2,5,9.9000e+09,59,0,0
20.03.2023 9:28:27,TIC Gauge 3,5,9.9000e+09,59,0,0
20.03.2023 9:28:29,TIC Turbo Speed,,1.6,,0,0
